StationId,StationName,City,State,Status,lat,lon,
AP001,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,Active,17.40943,78.469404,
AP002,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,,17.00398,81.778353,
AP003,"Tirumala, Tirupati - APPCB",Tirupati,Andhra Pradesh,,13.64207,79.420201,
AP004,"PWD Grounds, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,,16.50711,80.631372,
AP005,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,Active,17.83789,83.359098,
AS001,"Railway Colony, Guwahati - APCB",Guwahati,Assam,Active,26.17472,91.774975,
BR001,"Collectorate, Gaya - BSPCB",Gaya,Bihar,,24.79109,85.006954,
BR002,"SFTI Kusdihra, Gaya - BSPCB",Gaya,Bihar,,24.76294,84.981589,
BR003,"Industrial Area, Hajipur - BSPCB",Hajipur,Bihar,,25.69685,85.239586,
BR004,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,,26.12085,85.384863,
BR005,"DRM Office Danapur, Patna - BSPCB",Patna,Bihar,Active,25.58235,85.047877,
BR006,"Govt. High School Shikarpur, Patna - BSPCB",Patna,Bihar,Active,25.59329,85.227051,
BR007,"IGSC Planetarium Complex, Patna - BSPCB",Patna,Bihar,Active,25.61041,85.131836,
BR008,"Muradpur, Patna - BSPCB",Patna,Bihar,Active,25.62187,85.145553,
BR009,"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,Active,25.60196,85.109244,
BR010,"Samanpura, Patna - BSPCB",Patna,Bihar,Active,25.59951,85.085926,
CH001,"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,Active,30.75204,76.756891,
DL001,"Alipur, Delhi - DPCC",Delhi,Delhi,Active,28.79744,77.135867,
DL002,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,Active,28.64928,77.306762,
DL003,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,Active,28.69072,77.173648,
DL004,"Aya Nagar, Delhi - IMD",Delhi,Delhi,Active,28.46963,77.125643,
DL005,"Bawana, Delhi - DPCC",Delhi,Delhi,Active,28.80018,77.050734,
DL006,"Burari Crossing, Delhi - IMD",Delhi,Delhi,Inactive,28.72828,77.197219,
DL007,"CRRI Mathura Road, Delhi - IMD",Delhi,Delhi,Active,28.55068,77.274155,
DL008,"DTU, Delhi - CPCB",Delhi,Delhi,Active,28.74975,77.116838,
DL009,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi,Active,28.50091,77.267213,
DL010,"Dwarka-Sector 8, Delhi - DPCC",Delhi,Delhi,Active,28.5657,77.068376,
DL011,"East Arjun Nagar, Delhi - CPCB",Delhi,Delhi,Active,28.65602,77.294523,
DL012,"IGI Airport (T3), Delhi - IMD",Delhi,Delhi,Active,28.5454,77.114207,
DL013,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,Delhi,Active,28.67811,77.303585,
DL014,"ITO, Delhi - CPCB",Delhi,Delhi,Active,28.62764,77.242618,
DL015,"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,Active,28.72598,77.163912,
DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,Active,28.58606,77.234275,
DL017,"Lodhi Road, Delhi - IMD",Delhi,Delhi,Active,28.59119,77.227789,
DL018,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,Delhi,Active,28.6124,77.236949,
DL019,"Mandir Marg, Delhi - DPCC",Delhi,Delhi,Active,28.63751,77.201044,
DL020,"Mundka, Delhi - DPCC",Delhi,Delhi,Active,28.68074,77.017423,
DL021,"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,Active,28.60983,77.035547,
DL022,"Najafgarh, Delhi - DPCC",Delhi,Delhi,Active,28.60237,76.988112,
DL023,"Narela, Delhi - DPCC",Delhi,Delhi,Active,28.85145,77.091869,
DL024,"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,Active,28.56916,77.253253,
DL025,"North Campus, DU, Delhi - IMD",Delhi,Delhi,Active,28.6875,77.213342,
DL026,"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,Active,28.53979,77.278905,
DL027,"Patparganj, Delhi - DPCC",Delhi,Delhi,Active,28.63285,77.307067,
DL028,"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,Active,28.67051,77.133318,
DL029,"Pusa, Delhi - DPCC",Delhi,Delhi,Active,28.63803,77.147637,
DL030,"Pusa, Delhi - IMD",Delhi,Delhi,Active,28.63408,77.169717,
DL031,"R K Puram, Delhi - DPCC",Delhi,Delhi,Active,28.56465,77.179238,
DL032,"Rohini, Delhi - DPCC",Delhi,Delhi,Active,28.73365,77.093037,
DL033,"Shadipur, Delhi - CPCB",Delhi,Delhi,Active,28.65012,77.158383,
DL034,"Sirifort, Delhi - CPCB",Delhi,Delhi,Active,28.5494,77.220017,
DL035,"Sonia Vihar, Delhi - DPCC",Delhi,Delhi,Active,28.73055,77.250009,
DL036,"Sri Aurobindo Marg, Delhi - DPCC",Delhi,Delhi,Active,28.53761,77.199055,
DL037,"Vivek Vihar, Delhi - DPCC",Delhi,Delhi,Active,28.67046,77.323376,
DL038,"Wazirpur, Delhi - DPCC",Delhi,Delhi,Active,28.699,77.165906,
GJ001,"Maninagar, Ahmedabad - GPCB",Ahmedabad,Gujarat,Active,22.99305,72.6085,
GJ002,"GIDC, Ankleshwar - GPCB",Ankleshwar,Gujarat,,21.61181,73.014643,
GJ003,"Sector-10, Gandhinagar - GPCB",Gandhinagar,Gujarat,,23.22246,72.659636,
GJ004,"GIDC, Nandesari - Nandesari Ind. Association",Nandesari,Gujarat,,22.40644,73.092234,
GJ005,"Phase-1 GIDC, Vapi - GPCB",Vapi,Gujarat,,20.35709,72.922817,
GJ006,"Phase-4 GIDC, Vatva - GPCB",Vatva,Gujarat,,22.97281,72.646835,
HR001,"Patti Mehar, Ambala - HSPCB",Ambala,Haryana,Active,30.37937,76.774941,
HR002,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,Active,28.67577,76.929444,
HR003,"Nathu Colony, Ballabgarh - HSPCB",Ballabgarh,Haryana,Active,28.3456,77.318946,
HR004,"H.B. Colony, Bhiwani - HSPCB",Bhiwani,Haryana,Active,28.80575,76.138403,
HR005,"Municipal Corporation Office, Dharuhera - HSPCB",Dharuhera,Haryana,Active,28.21077,76.791546,
HR006,"New Industrial Town, Faridabad - HSPCB",Faridabad,Haryana,Active,28.38823,77.301664,
HR007,"Sector 11, Faridabad - HSPCB",Faridabad,Haryana,Active,28.37065,77.321578,
HR008,"Sector 30, Faridabad - HSPCB",Faridabad,Haryana,Active,28.4442,77.320223,
HR009,"Sector- 16A, Faridabad - HSPCB",Faridabad,Haryana,Active,28.40524,77.318396,
HR010,"Huda Sector, Fatehabad - HSPCB",Fatehabad,Haryana,Active,29.50502,75.472477,
HR011,"NISE Gwal Pahari, Gurugram - IMD",Gurugram,Haryana,Active,28.42415,77.149224,
HR012,"Sector-51, Gurugram - HSPCB",Gurugram,Haryana,Active,28.42858,77.067804,
HR013,"Teri Gram, Gurugram - HSPCB",Gurugram,Haryana,Active,28.42689,77.147425,
HR014,"Vikas Sadan, Gurugram - HSPCB",Gurugram,Haryana,Active,28.45,77.028433,
HR015,"Urban Estate-II, Hisar - HSPCB",Hisar,Haryana,Active,29.14211,75.741162,
HR016,"Police Lines, Jind - HSPCB",Jind,Haryana,Active,29.30796,76.354487,
HR017,"Rishi Nagar, Kaithal - HSPCB",Kaithal,Haryana,Active,29.80378,76.413923,
HR018,"Sector-12, Karnal - HSPCB",Karnal,Haryana,Active,29.6964,77.00025,
HR019,"Sector-7, Kurukshetra - HSPCB",Kurukshetra,Haryana,Active,29.96985,76.87292,
HR020,"General Hospital, Mandikhera - HSPCB",Mandikhera,Haryana,Active,27.89987,76.994751,
HR021,"Sector-2 IMT, Manesar - HSPCB",Manesar,Haryana,Active,28.36466,76.937875,
HR022,"Shastri Nagar, Narnaul - HSPCB",Narnaul,Haryana,Active,28.06486,76.111651,
HR023,"Shyam Nagar, Palwal - HSPCB",Palwal,Haryana,Active,28.14859,77.332723,
HR024,"Sector-6, Panchkula - HSPCB",Panchkula,Haryana,Active,30.70591,76.857361,
HR025,"Sector-18, Panipat - HSPCB",Panipat,Haryana,Active,29.43636,76.975354,
HR026,"MD University, Rohtak - HSPCB",Rohtak,Haryana,Active,28.87659,76.622209,
HR027,"F-Block, Sirsa - HSPCB",Sirsa,Haryana,Active,29.53676,75.017034,
HR028,"Murthal, Sonipat - HSPCB",Sonipat,Haryana,Active,29.02962,77.070258,
HR029,"Gobind Pura, Yamuna Nagar - HSPCB",Yamuna Nagar,Haryana,Active,30.15251,77.286136,
JH001,"Tata Stadium, Jorapokhar - JSPCB",Jorapokhar,Jharkhand,Active,23.70819,86.413373,
KA001,"Vidayagiri, Bagalkot - KSPCB",Bagalkot,Karnataka,,16.17862,75.660135,
KA002,"BTM Layout, Bengaluru - CPCB",Bengaluru,Karnataka,Active,12.91432,77.60972,
KA003,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,Karnataka,Active,12.94644,77.697889,
KA004,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,12.95691,77.541624,
KA005,"City Railway Station, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,12.97745,77.568116,
KA006,"Hebbal, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,13.03753,77.601166,
KA007,"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,12.93735,77.597314,
KA008,"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,12.92006,77.584827,
KA009,"Peenya, Bengaluru - CPCB",Bengaluru,Karnataka,Active,13.02824,77.514534,
KA010,"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,12.99062,77.5446,
KA011,"Silk Board, Bengaluru - KSPCB",Bengaluru,Karnataka,Active,12.91641,77.622015,
KA012,"Urban, Chamarajanagar - KSPCB",Chamarajanagar,Karnataka,,11.92808,76.933293,
KA013,"Chikkaballapur Rural, Chikkaballapur - KSPCB",Chikkaballapur,Karnataka,,13.44059,77.73223,
KA014,"Kalyana Nagara, Chikkamagaluru - KSPCB",Chikkamagaluru,Karnataka,,13.02736,77.640941,
KA015,"Deshpande Nagar, Hubballi - KSPCB",Hubballi,Karnataka,,15.35348,75.136887,
KA016,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Kalaburagi,Karnataka,,17.31986,76.820116,
