X,Y,id,ref,@spider,amenity,cuisine,takeaway,addr:full,addr:city,addr:state,addr:postcode,addr:country,name,phone,website,brand,brand:wikidata,nsi_id
-86.8142699,33.2504940,IVSjmV2REKY2LOihGfk8RkitNR0=,https://locations.jimmyjohns.com/al/alabaster/sandwiches-3560.html,jimmy_johns,fast_food,sandwich,yes,634 1st St N Suite 300,Alabaster,AL,35007,US,Jimmy John's,(205) 564-8228,https://locations.jimmyjohns.com/al/alabaster/sandwiches-3560.html,Jimmy John's,Q1689380,jimmyjohns-4d2ff4
-91.7094027,35.2501652,xqizfAMSRRxFivSoRFLRnTK1eFs=,https://locations.jimmyjohns.com/ar/searcy/sandwiches-3373.html,jimmy_johns,fast_food,sandwich,yes,2301 E Race Ave ,Searcy,AR,72143,US,Jimmy John's,(501) 268-4444,https://locations.jimmyjohns.com/ar/searcy/sandwiches-3373.html,Jimmy John's,Q1689380,jimmyjohns-4d2ff4
-94.1798650,36.3116328,Pw2q_ZOKcKmyCVS7HNvmnberQGc=,https://locations.jimmyjohns.com/ar/rogers/sandwiches-1839.html,jimmy_johns,fast_food,sandwich,yes,2004 Promenade Blvd Ste. 3,Rogers,AR,72758,US,Jimmy John's,(479) 202-5000,https://locations.jimmyjohns.com/ar/rogers/sandwiches-1839.html,Jimmy John's,Q1689380,jimmyjohns-4d2ff4
-92.2225138,34.7888223,nwqUpiAUfLIxY6z6Ijnqa5jb4RM=,https://locations.jimmyjohns.com/ar/northlittlerock/sandwiches-1505.html,jimmy_johns,fast_food,sandwich,yes,4120 E. McCain Blvd. Ste. 108,North Little Rock,AR,72117,US,Jimmy John's,(501) 945-9501,https://locations.jimmyjohns.com/ar/northlittlerock/sandwiches-1505.html,Jimmy John's,Q1689380,jimmyjohns-4d2ff4
-93.2133757,33.2747951,u6cDGeq53YJKNVkxCeQeU9ANNZw=,https://locations.jimmyjohns.com/ar/magnolia/sandwiches-4159.html,jimmy_johns,fast_food,sandwich,yes,50 Hwy 79 N Suite S,Magnolia,AR,71753,US,Jimmy John's,(870) 234-7771,https://locations.jimmyjohns.com/ar/magnolia/sandwiches-4159.html,Jimmy John's,Q1689380,jimmyjohns-4d2ff4
-92.3772356,36.3464432,FaP9UTVY4xuOE37Za2WRN5_2Mzk=,https://locations.jimmyjohns.com/ar/mountainhome/sandwiches-2800.html,jimmy_johns,fast_food,sandwich,yes,650 Market St Ste. 1,Mountain Home,AR,72653,US,Jimmy John's,(870) 580-0585,https://locations.jimmyjohns.com/ar/mountainhome/sandwiches-2800.html,Jimmy John's,Q1689380,jimmyjohns-4d2ff4
-92.4104828,34.7545045,Rua-etmmqgkhuxcArFuAnwPE5ZQ=,https://locations.jimmyjohns.com/ar/littlerock/sandwiches-1722.html,jimmy_johns,fast_food,sandwich,yes,12206 W Markham St Ste. 500,Little Rock,AR,72211,US,Jimmy John's,(501) 223-9400,https://locations.jimmyjohns.com/ar/littlerock/sandwiches-1722.html,Jimmy John's,Q1689380,jimmyjohns-4d2ff4
-92.2766700,34.7426378,BxSJuCplHm9VjpCWHD1utIL5Z6g=,https://locations.jimmyjohns.com/ar/littlerock/sandwiches-1573.html,jimmy_johns,fast_food,sandwich,yes,700 S Broadway St ,Little Rock,AR,72201,US,Jimmy John's,(501) 372-1600,https://locations.jimmyjohns.com/ar/littlerock/sandwiches-1573.html,Jimmy John's,Q1689380,jimmyjohns-4d2ff4
-90.6693900,35.8308745,vubdKDKb9EqwKg-2gqVgYnoogaE=,https://locations.jimmyjohns.com/ar/jonesboro/sandwiches-2315.html,jimmy_johns,fast_food,sandwich,yes,1319 Red Wolf Blvd Ste. I,Jonesboro,AR,72401,US,Jimmy John's,(870) 932-7827,https://locations.jimmyjohns.com/ar/jonesboro/sandwiches-2315.html,Jimmy John's,Q1689380,jimmyjohns-4d2ff4
-93.0602648,34.4632793,1-3ousoBpJqw35lJF5WEvwU8CxQ=,https://locations.jimmyjohns.com/ar/hotsprings/sandwiches-2741.html,jimmy_johns,fast_food,sandwich,yes,3801 Central Ave Ste. A,Hot Springs,AR,71913,US,Jimmy John's,(501) 525-7827,https://locations.jimmyjohns.com/ar/hotsprings/sandwiches-2741.html,Jimmy John's,Q1689380,jimmyjohns-4d2ff4
