X,Y,id,ref,@spider,amenity,cuisine,takeaway,addr:full,addr:city,addr:state,addr:postcode,addr:country,name,phone,website,brand,brand:wikidata,nsi_id
-87.6336694,41.903868,O6mSMdocaDG0mPb9zE04_fXzYzg=,4016,quiznos,fast_food,sandwich,yes,164 W Division St,Chicago,IL,60610,US,1212 N. LaSalle,(312) 642-3355,https://delivery.quiznos.com/?store_id=6359,Quizno's,Q1936229,quiznos-658eea
-113.48585,53.59991,D_rCevj9sJ58dabMOopNqvnhLX8=,9580,quiznos,fast_food,sandwich,yes,Unit 607 - 137 Ave NW,Edmonton,AB,T5E 6C1,CA,137 Ave. NW/113A St. NW,,https://delivery.quiznos.com/?store_id=6773,Quizno's,Q1936229,quiznos-658eea
-118.30123,33.85404,mfr5NtgDrj9pZ9r_5R9dFu-Q6tc=,648,quiznos,fast_food,sandwich,yes,1441 W Knox St,Torrance,CA,90501,US,190th and Normandie,,https://delivery.quiznos.com/?store_id=6214,Quizno's,Q1936229,quiznos-658eea
-92.46441,44.02241,jPF8vQfE-uw8b4G0kM-QNHaMIZk=,3669,quiznos,fast_food,sandwich,yes,101 1st Ave SW Ste 11,Rochester,MN,55902,US,1st Avenue,(507) 292-5725,https://delivery.quiznos.com/?store_id=6346,Quizno's,Q1936229,quiznos-658eea
-105.759696,53.1846121,cs9LvtwKo-u3uV1Nn3by7gYUpS4=,6356,quiznos,fast_food,sandwich,yes,3110 2nd Ave W,Prince Albert,SK,S6V 5E8,CA,2nd Ave Prince Albert,,https://delivery.quiznos.com/?store_id=6737,Quizno's,Q1936229,quiznos-658eea
-104.90367,39.76672,xYz30LIBWNiou3WIwhaNpmLiJFg=,15007,quiznos,fast_food,sandwich,yes,3535 Quebec St,Denver,CO,80207,US,35th and Quebec St,,https://delivery.quiznos.com/?store_id=11028,Quizno's,Q1936229,quiznos-658eea
-119.290384,45.852433,mDT0LHlkfe-qUnCdxPwZf6fgqCk=,4008,quiznos,fast_food,sandwich,yes,1565 N 1st St Ste 9,Hermiston,OR,97838,US,395 Mall,(541) 567-5050,https://delivery.quiznos.com/?store_id=6357,Quizno's,Q1936229,quiznos-658eea
-104.84725,39.778179,FiY1lk7tp8boas6wjZcwexKue-Y=,10810,quiznos,fast_food,sandwich,yes,4505 Peoria St Unit 102,Denver,CO,80239,US,45th and Peoria Street,,https://delivery.quiznos.com/?store_id=6488,Quizno's,Q1936229,quiznos-658eea
-114.10141,51.79528,pUDKgl3x3CQkMwZhiAt457cjmik=,12123,quiznos,fast_food,sandwich,yes,"100, 4529 49 Ave",Olds,AB,T4H 1A4,CA,49th Ave & 46th St - Olds,,https://delivery.quiznos.com/?store_id=6795,Quizno's,Q1936229,quiznos-658eea
-106.6550193,52.1729935,I7KGO7B-Bgk6VyGlyYUqWWFi0xk=,4489,quiznos,fast_food,sandwich,yes,820B 51st St E,Saskatoon,SK,S7K 0X8,CA,51st Street,(306) 975-1820,https://delivery.quiznos.com/?store_id=6702,Quizno's,Q1936229,quiznos-658eea
-84.3847612,33.7741055,JJFPsroKiDxekMjEuEeQhqr-3mI=,3068,quiznos,fast_food,sandwich,yes,710 Peachtree St NE Ste 116,Atlanta,GA,30308,US,710 Peachtree Street,(404) 532-1994,https://delivery.quiznos.com/?store_id=6318,Quizno's,Q1936229,quiznos-658eea
-120.8406627,56.2388692,TgFdROsJ3N48yqWfcfawz7sMzhY=,3701,quiznos,fast_food,sandwich,yes,9115 96A St,Fort St John,BC,V1J 6X6,CA,96A and 100 Street,(250) 787-1126,,Quizno's,Q1936229,quiznos-658eea
-122.6592859,45.6929872,6tAl1vxG4q0cO5vQnbIcBtauHsI=,2440,quiznos,fast_food,sandwich,yes,1217 Northeast 99th Street Suite 103,Vancouver,WA,98665,US,99 Street Crossing,(360) 546-5396,https://delivery.quiznos.com/?store_id=6290,Quizno's,Q1936229,quiznos-658eea
-158.06535,21.50139,YA1QVUsOOPQcdVkNdspC8bMljx8=,14987,quiznos,fast_food,sandwich,yes,1 Schofield Barracks,Schofield Barracks,HI,96857,US,"AAFES - Schofield Barracks, Bldg 752",,https://delivery.quiznos.com/?store_id=10168,Quizno's,Q1936229,quiznos-658eea
-79.7033043,43.4506506,eWJqrpLx-bHiBP4iHWXbQlT56kk=,14755,quiznos,fast_food,sandwich,yes,"223 North Service Road West, Bldg A",Oakville,ON,L6M 3R2,CA,Abbey Centre Oakville,,https://delivery.quiznos.com/?store_id=6841,Quizno's,Q1936229,quiznos-658eea
-80.9946754,46.4475413,bzN4xFTVksE7Bd8a8PXMdzYNhZk=,4486,quiznos,fast_food,sandwich,yes,15B-2040 Algonquin Rd,Sudbury,ON,P3E 4Z6,CA,Algonquin Square,(705) 523-8108,https://delivery.quiznos.com/?store_id=6700,Quizno's,Q1936229,quiznos-658eea
-112.50766,45.98637,An-NXkCsxnIwPmFyF79SgkDOXK4=,5016,quiznos,fast_food,sandwich,yes,2119 Amherst Ave,Butte,MT,59701,US,Amherst,,https://delivery.quiznos.com/?store_id=6390,Quizno's,Q1936229,quiznos-658eea
-82.20151,41.41855,h0n9T9EArviQbnS9Y2K0xwt_AVE=,5278,quiznos,fast_food,sandwich,yes,1980 Cooper Foster Park Rd W,Lorain,OH,44053,US,Amherst,(440) 282-3382,https://delivery.quiznos.com/?store_id=6400,Quizno's,Q1936229,quiznos-658eea
-117.8764836,33.690033,A2E7em0yzb4CNzYi4muODDjy9aA=,1282,quiznos,fast_food,sandwich,yes,545 Anton Blvd Ste 103,Costa Mesa,CA,92626,US,Anton,(714) 546-7222,https://delivery.quiznos.com/?store_id=6239,Quizno's,Q1936229,quiznos-658eea
-121.947722,37.511503,-W6YNXvFJzyVc1e9Fp-3TBeTKw0=,14811,quiznos,fast_food,sandwich,yes,43937 Hugo Ter,Fremont,CA,94538,US,Auto Mall,,https://delivery.quiznos.com/?store_id=6575,Quizno's,Q1936229,quiznos-658eea
-76.66844,39.17739,nj2ZSyFCIPduNYIqP7RtbzVJqIM=,8344,quiznos,fast_food,sandwich,yes,Terminal D,Baltimore,MD,21240,US,Baltimore Washington Int'l Airport - Terminal D,,,Quizno's,Q1936229,quiznos-658eea
-111.9900433,40.7296918,_fDYqcY5rhLjZi7nbWOfUZmfPzA=,576,quiznos,fast_food,sandwich,yes,1775 S 4130 W Ste D,Salt Lake City,UT,84104,US,Bangerter Pointe,(801) 973-6300,https://delivery.quiznos.com/?store_id=6210,Quizno's,Q1936229,quiznos-658eea
-119.4279438,49.8880184,frOhrZI5iLtXLQVTfq8nDN-K60M=,12664,quiznos,fast_food,sandwich,yes,306-1500 Banks Rd,Kelowna,BC,V1X 7Y1,CA,Banks and Harvey,,https://delivery.quiznos.com/?store_id=6805,Quizno's,Q1936229,quiznos-658eea
-90.09864,29.87721,VxltmAlJThqEO_6HF3l84RV4eUA=,6170,quiznos,fast_food,sandwich,yes,1855 Barataria Blvd Ste C1,Marrero,LA,70072,US,Barataria,,https://delivery.quiznos.com/?store_id=6419,Quizno's,Q1936229,quiznos-658eea
-71.213887,46.8624235,hnJ9OP-nxOQa9ajj--mn0RV-9fQ=,10073,quiznos,fast_food,sandwich,yes,3324 Rue Du Carrefour,Beauport,QC,G1C 7E1,CA,Beauport,,https://delivery.quiznos.com/?store_id=6779,Quizno's,Q1936229,quiznos-658eea
-75.8179258,45.3294918,s5Pb6WztprUz4IkJlzj4ivOkB9c=,1215,quiznos,fast_food,sandwich,yes,"1831 Robertson Road, Unit 18",Ottawa,ON,K2H 8X3,CA,Bells Corner,(613) 726-3376,https://delivery.quiznos.com/?store_id=6634,Quizno's,Q1936229,quiznos-658eea
-91.64308,42.03491,zl_X0kFhMxxRUyzKV59rHlRm4v4=,298,quiznos,fast_food,sandwich,yes,600 Blairs Ferry Rd NE Ste E,Cedar Rapids,IA,52402,US,Blairs Place Shopping Center,(319) 294-8524,https://delivery.quiznos.com/?store_id=6201,Quizno's,Q1936229,quiznos-658eea
