gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3947203271,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/139535154,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894",Dromiciops gliroides,,CL,,Araucanía,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-39.042341,-72.221619,28151,,,,,,10/19/2022 13:01,19,10,2022,2433393,2433393,HUMAN_OBSERVATION,iNaturalist,Observations,139535154,,Katterin Gutiérrez Inostroza,10/21/2022 16:18,CC_BY_NC_4_0,Katterin Gutiérrez Inostroza,Katterin Gutiérrez Inostroza,,,11/17/2022 22:32,StillImage,COORDINATE_ROUNDED
3925143021,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/137804237,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894",Dromiciops gliroides,,CL,,Los Lagos,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-40.651263,-72.601796,27908,,,,,,2/15/2021 22:52,15,2,2021,2433393,2433393,HUMAN_OBSERVATION,iNaturalist,Observations,137804237,,Daniel Stange,10/6/2022 22:43,CC_BY_NC_4_0,Daniel Stange,Daniel Stange,,,11/17/2022 22:27,StillImage,COORDINATE_ROUNDED
3925075000,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/137804475,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894",Dromiciops gliroides,,CL,,Los Lagos,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-40.611653,-72.757419,27908,,,,,,3/2/2021 23:36,2,3,2021,2433393,2433393,HUMAN_OBSERVATION,iNaturalist,Observations,137804475,,Daniel Stange,10/6/2022 22:45,CC_BY_NC_4_0,Daniel Stange,Daniel Stange,,,11/17/2022 22:27,StillImage,COORDINATE_ROUNDED
3915557461,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/136166675,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894",Dromiciops gliroides,,CL,,Bío-Bío,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-37.817504,-73.42001,28329,,,,,,9/22/2022 0:00,22,9,2022,2433393,2433393,HUMAN_OBSERVATION,iNaturalist,Observations,136166675,,cchaparro,9/23/2022 15:45,CC_BY_NC_4_0,cchaparro,cchaparro,,,11/17/2022 22:31,StillImage,COORDINATE_ROUNDED
3818532752,d8cd16ba-bb74-4420-821e-083f2bac17c2,JAHYBR010000000,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894",Dromiciops gliroides,,CL," San Martin, comuna de Valdivia, Region de los Rios",,PRESENT,,ada9d123-ddb4-467d-8891-806ea8d94230,-39.647793,-73.196945,,,,,,,2/10/2014 0:00,10,2,2014,2433393,2433393,MATERIAL_SAMPLE,,,,,,,CC_BY_4_0,,"Roberto Nespolo, Julian Quintero",,,11/2/2022 0:35,,GEODETIC_DATUM_ASSUMED_WGS84
3818489367,d8cd16ba-bb74-4420-821e-083f2bac17c2,MW457274,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894",Dromiciops gliroides,,AR,,,PRESENT,,ada9d123-ddb4-467d-8891-806ea8d94230,,,,,,,,,,,,,2433393,2433393,PRESERVED_SPECIMEN,,,LVAG03,,,,CC_BY_4_0,,,,,11/2/2022 0:35,,
3818466652,d8cd16ba-bb74-4420-821e-083f2bac17c2,MW175999,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894",Dromiciops gliroides,,AR,,,PRESENT,,ada9d123-ddb4-467d-8891-806ea8d94230,,,,,,,,,,,,,2433393,2433393,PRESERVED_SPECIMEN,,,LAAG09,,,,CC_BY_4_0,,,,,11/2/2022 0:35,,
3818460229,d8cd16ba-bb74-4420-821e-083f2bac17c2,MW457439,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894",Dromiciops gliroides,,AR,,,PRESENT,,ada9d123-ddb4-467d-8891-806ea8d94230,,,,,,,,,,,,,2433393,2433393,PRESERVED_SPECIMEN,,,LAAG12,,,,CC_BY_4_0,,,,,11/2/2022 0:35,,
3818446117,d8cd16ba-bb74-4420-821e-083f2bac17c2,MW457339,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894",Dromiciops gliroides,,AR,,,PRESENT,,ada9d123-ddb4-467d-8891-806ea8d94230,,,,,,,,,,,,,2433393,2433393,PRESERVED_SPECIMEN,,,LVAG01,,,,CC_BY_4_0,,,,,11/2/2022 0:35,,
3818432286,d8cd16ba-bb74-4420-821e-083f2bac17c2,MW457447,Animalia,Chordata,Mammalia,Microbiotheria,Microbiotheriidae,Dromiciops,Dromiciops gliroides,,SPECIES,"Dromiciops gliroides Thomas, 1894",Dromiciops gliroides,,CL,,,PRESENT,,ada9d123-ddb4-467d-8891-806ea8d94230,,,,,,,,,,,,,2433393,2433393,PRESERVED_SPECIMEN,,,SDCH12,,,,CC_BY_4_0,,,,,11/2/2022 0:35,,
